"Intervalos.de.Clase","LimInf","LimSup","Amplitud","Marca.de.Clase","Frecuencia","F.Acumulada","F.Relativa","F.Relativa.Acumulada"
"6 - 8",6,8,2,7,2876,2876,0.108528,0.108528
"8 - 10",8,10,2,9,3089,5965,0.116566,0.225094
"10 - 12",10,12,2,11,3115,9080,0.117547,0.342641
"12 - 14",12,14,2,13,3130,12210,0.118113,0.460754
"14 - 16",14,16,2,15,2976,15186,0.112302,0.573056
"16 - 18",16,18,2,17,2941,18127,0.110981,0.684037
"18 - 20",18,20,2,19,2642,20769,0.099698,0.783735
"20 - 22",20,22,2,21,2508,23277,0.094642,0.878377
"22 - 24",22,24,2,23,2531,25808,0.095509,0.973886
"24 - 26",24,26,2,25,691,26499,0.026075,0.999961
"26 - 28",26,28,2,27,0,26499,0,0.999961
"28 - 30",28,30,2,29,0,26499,0,0.999961
"30 - 32",30,32,2,31,1,26500,3.8e-05,0.999999
"32 - 34",32,34,2,33,0,26500,0,0.999999
"34 - 36",34,36,2,35,0,26500,0,0.999999
